sub_id,sexo,talla_cm,masa_kg,r_x,rmse_x,r_y,rmse_y
40,M,183.6,136.136570143127,0.998650200368313,3.35566723070489,0.927368308215814,0.424145542937327
37,M,186.6,90.3777449015748,0.994603449960324,4.70209114041609,0.908560201504503,0.605980789812456
43,M,179,61.0226744015572,0.996990159670218,4.61131753210301,0.95300297452646,0.85961073837653
46,F,165,64.6102763234205,0.998797880758667,3.30900034236146,0.896145809875791,1.26858124491996
19,F,169,63.2347601966772,0.999189648049872,2.3483446814869,0.920215102989446,0.587388543111734
28,M,172.5,103.593135418738,0.997633928123284,3.61522253250436,0.967493431633544,0.588303884270909
